"titulo","nome_diretor","nome_ator_principal"
"Aventuras na Praia","Paulo Gonzalez","Pedro Fernandes"
"O Mistério do Deserto","Ana Oliveira","Sophie Brown"
"Amor em Paris","Emily Johnson","Carlos Santos"
"O Jardim Secreto","Anya Kovalenko","Olivia Smith"
"Além do Horizonte","André Moreira","Anton Ivanov"
"O Último Suspiro","Marta Fernandez","Miguel Costa"
"Sob o Luar","Alexei Ivanov","Lila Patel"
"A Canção do Vento","Sophie Laurent","Lina Fischer"
"Caminho das Estrelas","Miguel Diaz","Diego Rodriguez"
"A Promessa","Javier Rodriguez","Carlos Fernandez"
"Labirinto dos Sonhos","Antonio Silva","Hiroshi Tanaka"
"Em Busca da Felicidade","Yuki Tanaka","Aisha Ali"
"Revelações","Kim Min-ji","Sofia Garcia"
"O Silêncio da Noite","Nina Petrova","Amelia Costa"
"A Magia do Amor","Rosa Gonzalez","Yusuf Khan"
"Horizonte Distante","Isabella Perez","Elena Rodriguez"
"Despertar da Alma","Carlos Oliveira","Cesar Silva"
"Vidas Cruzadas","Luna Mendes","Nadia Kim"
"A Dança das Estações","Ricardo Garcia","Raul Fernandez"
"Ecos do Passado","Julia Santos","Mariana Oliveira"
"Para Sempre","Emily Johnson","Pedro Fernandes"
"O Destino dos Corações","Paulo Gonzalez","Sophie Brown"
"Caminhos do Tempo","Ana Oliveira","Carlos Santos"
